"Input_id","labeldem","labelgop","labeldjt"
"dkgdttl",0,1,0
"db7fzpg",1,-1,-1
"djj4gjo",0,0,-1
"dsxq594",0,-1,-1
"dhez0jx",0,0,1
"dfrs3ew",-1,1,1
"d9idp5c",1,-99,-99
"da46qad",-1,0,0
"dqa9trz",0,-1,-1
"dhb5r5i",-1,0,0
"duxzpsz",1,-1,-1
"drcmclw",0,-99,-1
"dp09isy",0,0,-1
"dr6ol9k",-1,0,0
"dqnduml",-1,0,0
"dr5vw3b",0,1,1
"dn9et21",-1,0,1
"dt9s8ek",0,0,-1
"dl4388u",-1,1,0
"doomh9e",-1,1,1
"dei1ror",0,0,-1
"dqa763g",-1,1,1
"dczvgu7",0,-1,-1
"dtgkx2z",-1,1,1
"df55j47",0,0,-1
"dtl2he6",-1,0,0
"dtfwhwg",-1,0,0
"dqmjjot",-1,1,1
"dpfhlo5",0,-1,0
"dozoflb",0,0,-1
"dr6zctt",1,-1,0
"dimupet",-1,0,0
"dd8z9zu",0,0,-1
"dut3geg",-1,0,0
"di0d1k1",0,-1,-1
"dgnub8v",0,0,-1
"dro0n8l",-1,-1,-1
"dta6gt7",0,-1,0
"dofxhi3",-1,0,0
"dm50yk1",-1,0,0
"drqu8p4",-1,1,1
"do5y3xy",0,0,-1
"dkucvfc",1,-1,0
"dnoegpx",0,-1,-1
"dir3ugt",0,0,-1
"d9h0seq",-1,0,1
"dqqxnlv",0,-1,-1
"dtbhhob",0,-1,-1
"d9qcwxd",-1,0,0
"drpy5tn",-1,1,1
"dhlzcm5",0,-1,-1
"daq13gw",-1,0,0
"ddcftjn",0,-1,-1
"di5fehb",0,0,-1
"dudx5c5",-1,0,0
"du3aawr",-1,0,0
"dci0l4b",0,-1,-1
"duamn7f",0,-1,0
"duq8mwv",-1,-1,0
"dtag9g3",-1,0,1
"dlk8fiw",0,0,-1
"dm5m3j9",0,0,-1
"dtfnd45",-1,1,1
"dr6b3fs",-1,-1,-1
"der71jj",0,0,-1
"dngqo1b",-1,0,0
"dhcsf3x",-1,1,1
"dh17npy",0,-1,0
"dneq7al",0,0,-1
"dk2kago",-1,0,0
"dbuu8at",0,0,-1
"dnout3b",0,0,-1
"dtfaq7u",-1,0,0
"ddl9c9x",-1,0,0
"dpnvec5",0,0,-1
"dtfetp5",-99,-1,-1
"dgoe6g6",0,0,-1
"ddfi7lr",0,0,-1
"de5tc0k",-1,0,0
"d9jh1ol",0,0,1
"djid0ri",0,0,-1
"dimc6xp",0,-1,0
"drusn0g",0,0,1
"dhcv2i4",-1,0,0
"dtylzlh",-1,0,0
"dmubfkb",-1,0,0
"dloghp8",0,0,1
"diojydt",0,0,-1
"din0ic4",-1,0,0
"dflp5a3",-1,1,1
"dip6klb",0,1,1
"drmy3li",0,-1,-1
"dkq9yqv",-1,0,0
"drl5fsv",0,0,-1
"dikwk6k",-1,0,0
"dr1905d",-1,0,0
"do4kki7",0,-1,0
"dir3gvz",0,-1,-1
"dgzfpzv",0,0,-1
"dfox3jd",0,0,-1
"du5l2n8",-1,1,1
"db3dbq3",-1,0,0
"dblhkcg",-1,1,1
"dgyhrj7",0,0,-1
"dcayu41",-1,1,1
"ddm6w4g",0,-1,-1
"dm4u7i0",0,-1,0
"dhig6da",0,1,1
"dtgdemz",-1,1,1
"dsff1oq",0,-1,0
"dlp1huq",-1,0,1
"dt0riih",-1,0,0
"drg7sw3",0,-1,-1
"dkxxwyu",-1,0,-1
"dclyu2n",-1,0,0
"dl5iunx",-1,-1,0
"dog7wx7",-1,1,1
"dh2wiec",-1,1,0
"ds56e88",0,-1,-1
"dt4en5k",-1,-99,0
"d9sw5bj",1,0,-1
"dogwgz1",0,-1,-1
"dtnhiuz",-1,0,0
"dti2xri",0,1,1
"dclsy2h",-1,0,0
"ddclv90",-1,0,0
"duf7k3r",0,1,1
"di9y4oh",-1,0,0
"dtxfh8p",0,-1,-1
"dtfiw3h",0,0,1
"dd2gjgn",0,0,-1
"dotzf8n",0,-1,-1
"dmgb6zj",-1,-99,-99
"dd1rbve",0,0,1
"dbmjidt",-1,1,1
"dtieohy",-1,1,0
"dtrw4qy",0,-1,-1
"dspta0j",0,-1,-1
"ds0q1zo",0,-1,0
"dmfxc4y",0,-1,-1
"dkvbf3f",0,-1,-1
"drv1usu",-1,0,0
"dimtjwq",0,0,-1
"djcw9wl",-1,0,0
"dgxrwpl",-1,0,0
"drof01y",-1,0,-99
"dqo8ith",0,0,-1
"dfiu0nz",-1,1,1
"dp3zc8r",0,1,1
"dq7reme",0,-1,-1
"dtibnb0",-1,0,0
"dd5sf8g",-1,0,0
"du0bhoz",-1,1,1
"dp1y654",0,0,-1
"dt0z1h4",-1,0,0
"dcj9065",-1,1,1
"dejghzq",0,-1,-1
"dsomglm",0,0,-1
"dhckbtx",-1,1,1
"ddbi5mq",0,-1,-99
"dil5lip",0,0,1
"dohqv18",0,-1,-1
"dt0n48p",0,1,1
"db5canl",-1,0,0
"dfsm9de",-1,1,0
"dixm6xs",-1,0,0
"dfkl9jh",-1,1,1
"dqp80sm",-1,0,0
"dl3sbvp",0,-1,-1
"deaoper",0,-1,-1
"detwbup",1,-1,-1
"dq1vnoc",0,0,-1
"dhfyc43",-1,1,1
"do8svsf",-1,0,0
"ds8k6ni",0,-1,0
"dilkk40",-1,0,1
"dne5pfe",-1,1,1
"dcrju89",0,0,-1
"dcghp83",0,0,1
"daok5ny",0,0,1
"dnbk4mc",-1,0,0
"df3bd0n",0,0,-1
"daacxrg",0,-1,-1
"dhiosus",0,0,1
"dtfdy0b",-1,1,1
"dtt7222",-1,0,0
"drmvidn",0,-1,0
"dkqk211",-1,0,0
"djol1qa",-1,0,0
"di5fzqc",-1,0,0
"dk3h68v",0,-1,0
"dibky38",0,-1,-1
"d9mdawd",-1,1,1
"drp5uzr",0,-1,-1
"ddwvfkr",0,-1,-1
"droakk0",0,0,-1
"ddvlyde",-1,1,1
"ds7cf7e",0,-1,-1
"du1ylnc",0,-1,-1
"dcprqyg",-1,0,1
"diddro3",0,-1,-1
"dl5rjot",0,-1,0
"dtgc7rw",-1,0,0
"dadr0i6",-1,1,1
"dlgvwdc",0,-1,-1
"dkknnt1",0,-1,-1
"ddwvft0",0,-1,-1
"dgv3wfv",0,0,-1
"djeg1g0",-1,1,0
"doehhjx",0,0,-1
"dimxqbu",-1,0,0
"dhxubzj",-1,0,0
"dklswhw",0,0,-1
"duxl3lg",0,1,1
"d9o2bdv",0,0,1
"d9ljdbs",-1,0,0
"du4zp9q",0,1,0
"di8v4vz",0,0,1
"dc5pzu2",0,-1,0
"dnxb6y1",-1,0,0
"do31sxi",-1,0,1
"ddhz9b3",0,0,-1
"dp1yplf",0,-1,0
"dpb93vg",0,0,-1
"dcu9ox0",0,0,-1
"dtido4t",-1,1,1
"djk5got",0,-1,-1
"dpxmhs3",0,0,-1
"drmi8cq",-1,0,0
"ds1o89j",-1,0,1
"dk52avi",-1,0,1
"ddtg15l",-1,0,0
"drb7nqn",0,-1,0
"dh19gcg",0,-1,-1
"dq4dusz",0,-1,-1
"de7ozzq",-1,1,1
"ddrsg92",0,-1,0
"dtfd4wb",-1,0,0
"dnwia2s",-1,1,1
"dg1b4mn",0,0,-1
"dace7cz",-99,-1,-1
"dpt391f",1,-1,-1
"dhnazoj",0,0,-1
"dtfdkyx",-1,1,1
"du0kmlt",0,-1,-1
"dgodpmi",0,-1,-1
"d9v9q6t",1,0,0
"dk2ywmi",-1,1,0
"dnid5n1",0,0,-1
"dpqlve7",-1,0,0
"ddc8s0s",1,-1,-1
"d9mcf2i",-1,-99,1
"dfjezpu",-1,1,1
